,user_id,name,username,location,number_tweet,number_following,number_follower,avatar_url
90,1237965561331462144,NamCao_Hobi,NamHope_J,"Hà Nội, Việt Nam",230,86,27,https://pbs.twimg.com/profile_images/1237966328494837762/jTZN4pGf_400x400.jpg
91,808829347,Rosie Bắp,kiemphongkim252,"Hanoi, Vietnam",17,25,3,https://pbs.twimg.com/profile_images/1170721386890838016/Nhw2HPkk_400x400.jpg
92,102428336,Second Class Citizen,bgradecitizen,,69024,783,697,https://pbs.twimg.com/profile_images/532115428286287872/ONrx7CP4_400x400.jpeg
93,994851958841372673,Chris Humphrey,HumphreyWrites,"Hanoi, Vietnam",65,289,471,https://pbs.twimg.com/profile_images/996734781562929155/sMli3bv9_400x400.jpg
94,1039150347954974726,Hana.xyx,xyx_hana,"Hà Nội, Việt Nam",173,78,4,https://pbs.twimg.com/profile_images/1208445879457239040/9YqMxFCo_400x400.jpg
95,1363620014,Phạm Sinh,Kunitwru,,411,269,133,https://pbs.twimg.com/profile_images/915115738607771648/UsfjW0M-_400x400.jpg
96,1102567779440324608,Trọng XoXo,XoxoTrong,"Hà Nội, Việt Nam",80,38,6,https://pbs.twimg.com/profile_images/1102608413039554561/QbTAX6IK_400x400.jpg
97,1234366141272743936,TopFood TV,TopfoodT,,12,284,23,https://pbs.twimg.com/profile_images/1238078982131560455/70tE3f2a_400x400.jpg
98,69587900,Tiến Hưng,tienhungdg,"Hanoi, Vietnam",4111,493,351,https://pbs.twimg.com/profile_images/617773835840913408/Xt1L2Nd1_400x400.jpg
99,1219268131866038279,Brandon Cassanova,BrandonCassano5,,21,105,2,https://pbs.twimg.com/profile_images/1220361896886276096/rxuT5O5e_400x400.jpg
100,1121774699363487750,Nguyễn Văn San,san13051992,Hà Nội,50,34,4,https://pbs.twimg.com/profile_images/1124848334223564800/vbGZDeXl_400x400.png
101,2897319109,dimo,dimo_mi,Vietnam - Hanoi,8263,314,98,https://pbs.twimg.com/profile_images/1183104005372694528/TptBaoXe_400x400.jpg
102,3226694466,Hà Nội Scribbles,HanoiScribbles,,608,170,289,https://pbs.twimg.com/profile_images/603041999084630016/Sdy3nCgV_400x400.jpg
103,1025672886630182912,rockreadam,rockreadam,Ha noi vietnam ,1087,951,271,https://pbs.twimg.com/profile_images/1198250748229885952/b-3iS0TA_400x400.jpg
104,1051663794936541185,Trần Ngọc Hiếu,Tran_Hieu_1506,,76,225,24,https://pbs.twimg.com/profile_images/1222717072104292352/F3og_V66_400x400.jpg
105,1197002624395964416,SONA Agency,LongntS,"Hà Nội, Việt Nam",23,10,3,https://pbs.twimg.com/profile_images/1197354833528799233/Qs1Rp828_400x400.jpg
106,1238922508079751168,Dr_Panda2020,DR_Panda2020,,356,66,9,https://pbs.twimg.com/profile_images/1239174467261206530/3aikWFgA_400x400.jpg
107,1227436791273316354,Thinh Nguyen,realThinhIT,"Hanoi, Vietnam",134,62,22,https://pbs.twimg.com/profile_images/1227437229569650688/pQo-zaKA_400x400.jpg
108,1101117880886685697,Pham The Dan,PhamTheDan1,,73,15,22,https://pbs.twimg.com/profile_images/1101151761748770816/PSjVp6kf_400x400.jpg
109,877065518066221060,Vách ngăn vệ sinh,vachvesinhgiare,,1860,25,25,https://pbs.twimg.com/profile_images/877067171808935936/eWdOV0YA_400x400.jpg
110,971994447893348352,Luật sư  Vũ Ngọc Dũng,luatsuvudungbvl,"Hà Nội, Việt Nam",829,366,55,https://pbs.twimg.com/profile_images/971996693909483520/eNX5ePM__400x400.jpg
111,710834194016960514,Bach Lam,minhchantuong,Hanoi,818,0,7,https://pbs.twimg.com/profile_images/1161798469339639808/pV1MbOYJ_400x400.jpg
112,1138789121856401408,☁️Gà thánh thiện☁️REST☁️I miss Jungkook☁️방탄소년단☁️,HuayingNguyen,"Hà Nội, Việt Nam",10367,804,916,https://pbs.twimg.com/profile_images/1246078306094444544/XjA25Fxn_400x400.jpg
