,hashtag,user_id,tweet_id,location
82,#covid,404352422,1241883024108576769,hanoi
83,#covid_19sa,179642610,1241766333085179905,hanoi
84,#vietnam,703602186023018496,1241765469876408320,hanoi
85,#covid_19,703602186023018496,1241765469876408320,hanoi
86,#vietnam,703602186023018496,1241753704748838912,hanoi
87,#covid_19,703602186023018496,1241753704748838912,hanoi
88,#ndel,1133200254893903873,1241752159005192192,hanoi
89,#nhandanenligne,1133200254893903873,1241752159005192192,hanoi
90,#ndel,1133200254893903873,1241751837843181568,hanoi
91,#nhandanenligne,1133200254893903873,1241751837843181568,hanoi
92,#ndel,1133200254893903873,1241750733986250758,hanoi
93,#nhandanenligne,1133200254893903873,1241750733986250758,hanoi
94,#ndel,1133200254893903873,1241750067020587009,hanoi
95,#nhandanenligne,1133200254893903873,1241750067020587009,hanoi
96,#ndel,1133200254893903873,1241749359974219778,hanoi
97,#nhandanenligne,1133200254893903873,1241749359974219778,hanoi
98,#ndel,1133200254893903873,1241748588008329216,hanoi
99,#nhandanenligne,1133200254893903873,1241748588008329216,hanoi
100,#vietnam,703602186023018496,1241748041339568130,hanoi
101,#covid_19,703602186023018496,1241748041339568130,hanoi
102,#malaysia,703602186023018496,1241748041339568130,hanoi
103,#ndel,1133200254893903873,1241747888675229697,hanoi
104,#nhandanenligne,1133200254893903873,1241747888675229697,hanoi
105,#vietnam,703602186023018496,1241741591540142080,hanoi
106,#covid_19,703602186023018496,1241741591540142080,hanoi
107,#covid2019,120014735,1241739019110592512,hanoi
108,#covid_19,120014735,1241739019110592512,hanoi
109,#viruscorona,120014735,1241739019110592512,hanoi
110,#ncov2019,120014735,1241739019110592512,hanoi
111,#covidー19,120014735,1241739019110592512,hanoi
112,#covidー19,1237965561331462144,1241724219903201280,hanoi
113,#kca,1237965561331462144,1241724219903201280,hanoi
114,#votebtsglobal,1237965561331462144,1241724219903201280,hanoi
115,#270k,808829347,1241724077250838530,hanoi
116,#travelaware,22898078,1241722977483276291,hanoi
117,#vietnam,22898078,1241722977483276291,hanoi
118,#coronavirus,22898078,1241722977483276291,hanoi
